date,flow_windsor,storage,shortfall_london,restrictions
2070-01-01,10525,202828,0,0
2070-01-02,9740,202828,0,0
2070-01-03,10621,202828,0,0
2070-01-04,11139,202828,0,0
2070-01-05,11881,202828,0,0
2070-01-06,20497,202828,0,0
2070-01-07,18397,202828,0,0
2070-01-08,16419,202828,0,0
2070-01-09,15658,202828,0,0
2070-01-10,14251,202828,0,0
2070-01-11,16236,202828,0,0
2070-01-12,14864,202828,0,0
2070-01-13,17471,202828,0,0
2070-01-14,16117,202828,0,0
2070-01-15,14881,202828,0,0
2070-01-16,13776,202828,0,0
2070-01-17,14829,202828,0,0
2070-01-18,13826,202828,0,0
2070-01-19,13325,202828,0,0
2070-01-20,14767,202828,0,0
2070-01-21,15131,202828,0,0
2070-01-22,16409,202828,0,0
2070-01-23,15236,202828,0,0
2070-01-24,14604,202828,0,0
2070-01-25,13671,202828,0,0
2070-01-26,12851,202828,0,0
2070-01-27,12142,202828,0,0
2070-01-28,11519,202828,0,0
2070-01-29,13402,202828,0,0
2070-01-30,13532,202828,0,0
2070-01-31,13217,202828,0,0
2070-02-01,12439,202828,0,0
2070-02-02,13639,202828,0,0
2070-02-03,12872,202828,0,0
2070-02-04,12128,202828,0,0
2070-02-05,11472,202828,0,0
2070-02-06,10885,202828,0,0
2070-02-07,10366,202828,0,0
2070-02-08,9908,202828,0,0
2070-02-09,9485,202828,0,0
2070-02-10,12058,202828,0,0
2070-02-11,11791,202828,0,0
2070-02-12,11100,202828,0,0
2070-02-13,12750,202828,0,0
2070-02-14,12017,202828,0,0
2070-02-15,11273,202828,0,0
2070-02-16,10626,202828,0,0
2070-02-17,10063,202828,0,0
2070-02-18,9563,202828,0,0
2070-02-19,10608,202828,0,0
2070-02-20,10151,202828,0,0
2070-02-21,10624,202828,0,0
2070-02-22,10099,202828,0,0
2070-02-23,12611,202828,0,0
2070-02-24,11904,202828,0,0
2070-02-25,11126,202828,0,0
2070-02-26,10625,202828,0,0
2070-02-27,10029,202828,0,0
2070-02-28,10469,202828,0,0
2070-03-01,11617,202828,0,0
2070-03-02,10979,202828,0,0
2070-03-03,10323,202828,0,0
2070-03-04,9770,202828,0,0
2070-03-05,9269,202828,0,0
2070-03-06,9027,202828,0,0
2070-03-07,9587,202828,0,0
2070-03-08,10210,202828,0,0
2070-03-09,9709,202828,0,0
2070-03-10,9716,202828,0,0
2070-03-11,9225,202828,0,0
2070-03-12,10227,202828,0,0
2070-03-13,9761,202828,0,0
2070-03-14,9208,202828,0,0
2070-03-15,9483,202828,0,0
2070-03-16,9121,202828,0,0
2070-03-17,8647,202828,0,0
2070-03-18,8308,202828,0,0
2070-03-19,7921,202828,0,0
2070-03-20,7559,202828,0,0
2070-03-21,7231,202828,0,0
2070-03-22,6931,202828,0,0
2070-03-23,6656,202828,0,0
2070-03-24,6402,202828,0,0
2070-03-25,6166,202828,0,0
2070-03-26,5943,202828,0,0
2070-03-27,5734,202828,0,0
2070-03-28,5536,202828,0,0
2070-03-29,5347,202828,0,0
2070-03-30,5169,202828,0,0
2070-03-31,4998,202828,0,0
2070-04-01,4835,202828,0,0
2070-04-02,5588,202828,0,0
2070-04-03,7883,202828,0,0
2070-04-04,7676,202828,0,0
2070-04-05,7089,202828,0,0
